X,Y,name
33.8694437,-13.6613651,Dzaleka Refugee Camp
97.9165238,25.2200812,Border Post 8 Refugee Site
92.1477055,21.1886175,Camp 18
92.1503739,21.155669,Camp 16 - Bagghona-Putibonia Refugee Camp
34.2557861,8.2968106,Kule Refugee Camp
34.2872328,8.2787469,Tierkidi Refugee Camp
34.3251235,8.3045591,Nguenyyiel Refugee Camp
34.7038451,8.1524515,Jewi Refugee Camp
13.9173812,12.0296059,Kulagaru Refugee Site
30.3555783,9.9101905,Pamir Refugee Camp
34.6160316,10.2359336,Tsore Refugee Camp
38.1543593,13.6574607,Mai Aini Refugee Camp
13.9209896,12.0379478,Kamchijin Prayer Ground Refugee Site
13.7901338,11.2202355,Damara Arrival Centre Refugee Site
-5.7866889,15.8438896,M'Bera Refugee Camp
13.7841638,11.2322072,Umbazah Rock Side Camp Refugee Site
37.7244437,14.1754544,Shimelba Refugee Camp
0.9504354,14.7765061,Tabareybarey Refugee Camp
1.9519669,14.6705512,Mangaize Refugee Camp
43.8918936,36.4711405,Darashakran Refugee Camp
43.8124037,36.3455669,Kawergosk Refugee Camp
30.7829055,-3.6932957,Nduta Refugee Camp
30.8911514,-3.4236352,Mtendeli Refugee Camp
43.1797242,9.0973401,Kebribeyah Refugee Camp
38.1291246,13.5946541,መዓስከር ስደተኛታት ኤርትራውያን  ዓዲ ሓርሽ  Adi Harush Refugee Camp
30.3806734,-4.2354009,Nyarugusu Refugee Camp
41.4355373,11.5746575,Aysaita Refugee Camp
26.2069523,11.1501085,Kario Refugee Camp
35.1265472,6.4929095,Okugo RefugeeCamp
40.0182366,13.8392675,Berahle Refugee Camp
34.4151235,9.3828148,Tongo Refugee Camp
34.4959331,9.5238139,Gure-Shombola Refugee Camp
36.5854167,31.9048129,Azraq Refugee Camp
36.4469933,32.03391,Emira Jordanian Camp (EJC)
34.7388553,-15.4805236,Luwani Refugee Camp
42.8770637,36.7838201,Domiz 1 Refugee Camp
34.7788524,9.7741726,Bambasi Refugee Camp
25.8196414,4.0238199,Mboti Refugee Camp
29.0940472,-3.887772,Lusenda Refugee Camp
29.0366721,-4.236931,Mulongwe Refugee Camp
30.1112616,-2.8516999,Musasa Refugee Camp
18.8019741,4.1331307,Mole Refugee Camp
18.7653941,3.7330723,Boyabu Refugee Camp
19.92082,4.5416238,Bili Refugee Camp
38.0283594,36.8757415,Karkamis Refugee Camp
36.2053156,37.1358929,Cevdetiye Refugee Camp
16.4855861,8.1620035,Dosseye Refugee Camp
36.0548758,35.906971,Yayladagi Refugee Camp
36.0502624,35.9061976,Yayladagi Refugee Camp
36.352011,36.2351093,Apaydin Refugee Camp
38.4841418,37.0421615,Suruc Refugee Camp
37.9041409,37.0430521,Nizip-1 Refugee Camp
37.8956222,37.0468799,Nizip-2 Refugee Camp
38.9535928,36.7529488,Akcakale Refugee Camp
37.3607039,36.6643742,Elbeyli Refugee Camp
37.0821619,36.6461615,Oncupinar Refugee Camp
41.3909912,37.4115166,Midyat Refugee Camp
35.49129,37.0462377,Saricam Refugee Camp
39.9241018,36.8152974,Ceylanpinar Refugee Camp
30.2611542,-1.5969092,Nyabihake Refugee Camp
29.351778,-2.1328183,Kiziba refugee camp
29.5236272,-2.4851829,KIgeme refugee camp
98.3848857,17.1246321,Mae La Refugee Camp
97.8357625,19.3626725,Ban Mai Nai Soi Refugee Camp
97.8297972,19.0263991,Ban Mae Surin Refugee Camp
35.7606697,15.0739469,Kilo 26 Refugee Camp
32.7823019,12.5208196,Al Kashafa Refugee Camp
32.7781606,12.587989,Al Redis1 Refugee Camp
-7.7449751,4.4498376,Little Wlebo Refugee Camp
32.7437639,12.6081761,Um Sangour Refugee Camp
32.7647066,12.5986482,Al Redis2 Refugee Camp
32.803255299999996,12.3746444,Dabat Bosin Refugee Camp
32.80211,12.3652545,Al Alagaya Refugee Camp
96.2791908,25.5649799,Rawan Bapt. C. IDP Camp
97.4290243,25.304716,Hka Shi IDP Camp
35.8927846,14.3530195,Abuda Refugee Camp
34.8387193,3.7380186,Kakuma I Refugee Camp
34.8098588,3.7390249,Kakuma IV Refugee Camp
34.8149872,3.7540774,Kakuma III Refugee Camp
33.5874366,10.1009094,Kaya Refugee Camp
30.4269361,3.9480877,Nyori Refugee Camp
33.5760641,9.9755288,Yusuf Batil Refugee Camp
98.6767959,15.8540429,Nu Po Refugee Camp
99.0130806,16.3974717,Umpiem Refugee Camp
97.782762,17.7889213,Mae La Oon Refugee Camp
98.3027565,15.267936,Ban Don Yang Refugee Camp
9.3485176,6.7403469,Anyake
9.9389255,10.3183392,Rindibin Camp
12.598325,9.4189405,Daware Camp
12.7560604,11.1610978,Central Primary School Damboa
12.7597243,11.1626267,Old Secetariat Camp
13.118754,11.8258432,Nysc Camp Borno
13.9027637,12.0372377,Agric IDP Camp
-1.4360333,5.111494,Egyeikrom
15.0585169,3.5532297,Ngari-singo
28.7015247,4.7505976,Makpandu
30.4666757,3.9491901,Lasu
29.6268976,6.5102264,Wulu center
33.1221056,6.7931061,Pibor
31.4702081,6.190518,Mingkaman
30.6322324,6.4001962,Kormuokony
28.3671659,9.0038688,Man-Angui
28.5567015,9.099586,Pagai
28.4359002,9.593366,Magar
30.0896108,10.1122217,Yida
10.047512,7.6456435,Donzumga Primary School Refugee site
18.7561941,8.44546,Belom
10.344556,12.2881461,Old Hospital Camp Refugee Site
93.3668375,20.0473444,Taung Paw Refugee Site
92.8227715,20.1817854,Khaung Doke Khar Refugee Site
92.8079295,20.1814782,Baw Du Pha 2 Refugee Site
12.0585251,8.9560854,Mayo Farrang Refugee site
12.4450448,9.3200886,Angwan Kara Refugee site
12.624836,9.8035804,Sabon Peggi Refugee site
12.612876,9.8057688,Shagari Quarters Camp Refugee site
12.6124334,9.8298009,Gadamayo Bango Refugee site
12.8596714,10.8780164,Red-Bricks (IDP) Camp Refugee site
13.2700816,10.6934971,Vocational Training Centre Refugee site
12.8442903,10.8808493,Ten Housing Quarters Refugee site
12.7556339,11.1466953,Estate Camp Refugee site
12.7529436,11.1482217,Hausari Primary School Damboa Refugee site
13.917186,12.0307137,Sangaya Refugee Site
13.9088577,12.0349607,Motor Park Idp Camp Refugee Site
13.9009237,12.0428042,Masarmari Refugee Site
13.921169,12.0277992,1000 Camp Dikwa Refugee Site
13.9248919,12.0396773,Ministry Of Works Camp Refugee Site
13.9235938,12.0476203,Shehu Musta Ii Refugee Site
13.6847591,11.5082434,Gssss Camp Bama Refugee Site
13.7766248,11.2323705,Wege Arrival Centre Refugee Site
12.4989974,11.8122859,Aisha Buhari Camp Refugee Site
12.4981713,11.807056,Magistrate Refugee Site
13.1062657,12.258961,Ggss Gajiganna Camp Refugee Site
12.7620578,11.1607346,Police Barracks Refugee site
12.7582692,11.1597426,Mobile Clinic Refugee site
12.7583255,11.1577281,Police Doki Refugee site
12.7586916,11.1644661,Upper Court Refugee site
12.7543867,11.1666712,Unity Camp Refugee site
13.2223999,11.8863859,Bulamatari Camp Refugee Site
13.6265284,12.6651953,Stadium Camp Refugee Site
13.6193508,12.6721719,Gardener Low Cost Refugee Site
13.2614046,11.880748,Musari Camp Refugee Site
13.2826316,11.8811154,Custom House Refugee Site
97.2392338,24.2612362,AD-2000 Tharthana cpd Refugee Site
13.2104856,11.7837724,Shuwari Gaya Refugee Site
13.2162899,11.77589,Yawuri Camp Refugee Site
13.2253075,11.7701422,Fulatari Refugee Site
13.2599509,11.7486753,Fannamri Refugee Site
13.167479,11.8573447,Allamin Dagash Garage Refugee Site
13.2624547,11.7471811,Dalorima Refugee Site
13.1306148,11.7887074,Yajiwa Camp Kusheri Refugee Site
13.1327257,11.7906976,Ali Dawari I Refugee Site
13.1315763,11.791207,Kaduwa I Refugee Site
13.132849,11.7902407,Ali Dawari II Refugee Site
13.1312571,11.7877503,Yejiwa Borehole Camp Refugee Site
-8.0534077,6.0223483,PTP Camp
20.0449097,-7.3838641,NA
32.5454306,15.2498328,Bantiue
33.9439666,14.4230533,Fau 5
34.2290425,7.6769472,NA
34.2467451,7.6790312,Pugnido 2
36.9760752,37.5627624,turkoglu
28.8541746,-1.4079268,Kalinga
30.1946247,3.6362199,Bele
30.2022314,3.8499427,Meri
28.4448588,3.7069705,Kaka2
47.104193,40.165199,Barda
13.2538495,11.8695893,Muna Da'Alti 1B Refugee Site
13.2532614,11.8692461,Muna Da'Alti 1A Refugee Site
44.1072857,32.5247524,Al-Kawthar Camp
44.3306601,32.1463576,Najaf RHU Camp
43.5489839,33.3498303,Al-Khalidiya Markazi camp
44.3693268,33.2254102,Al Salam / al takia al kasnazania
44.2929375,33.3309361,Scout Camp / Gazaliya
44.3154439,33.311213,Al Jamea'a
44.2911082,33.3173209,Kadhra'a
43.5132515,34.821528,Hajjaj Camp / Rub-Hall
43.2342482,35.5239444,Basateen At Sheuokh
45.6901163,35.5322044,Barzinja
13.2549982,11.8695322,Abba Kura Hassan Refugee Site
13.2507455,11.8730206,Muna Garage El Badawe Refugee Site
13.2502587,11.8684639,Muna Da'Alti 2 Refugee Site
13.2505531,11.867364,Muna Da`Alti 2B Refugee Site
13.2502681,11.8659755,Muna Mallam Kori Refugee Site
13.2528256,11.8671252,Muna Da'Alti 2A Refugee Site
13.246513,11.8669047,Muna Moforo Refugee Site
13.2368731,11.8698472,Muna Asheri Camp Refugee Site
13.2391718,11.8667314,Bajauro Camp Refugee Site
13.240478,11.865986,Fillin Baba Makinta Refugee Site
13.1798273,11.8529957,Gidan Mongoro Refugee Site
13.1811422,11.8525344,Bamodu House Refugee Site
13.1830251,11.8541002,Fato Kura Refugee Site
13.1861553,11.844167,Alhaji Adam House 2 Refugee Site
13.1862035,11.8449519,Alhaji Adams House Refugee Site
13.1954437,11.8496744,Wade -Wade Layin Bola Refugee Site
13.1925014,11.8507375,Kirenuwa Camp Refugee Site
13.1651992,11.8434241,Kangarmaka Camp Refugee Site
13.1610283,11.8328722,Biafra Camp Refugee Site
13.2307389,11.8648914,Isa Gamai Camp Refugee Site
13.2323281,11.8656277,Bolorin Burin Refugee Site
97.8057378,25.1992283,Hkau Shau (BP 12) Refugee Site
13.1486177,11.8643375,Ansar Camp Refugee Site
13.1464532,11.8650397,Real Form Camp Refugee Site
13.1551664,11.860828,Pampas Street Camp Refugee Site
13.1580001,11.8619279,Railway Terminus Camp Refugee Site
13.1619094,11.8556923,Kawar Maila Refugee Site
71.4107171,33.6034769,Ghulam Banda Refugee Site
71.4078981,33.6027084,Ghulam Banda Refugee Site
72.0315277,34.6677261,Chakdara Refugee Site
72.0296287,34.6682026,Chakdara Refugee Site
68.4287953,30.4528843,Zar Karez Refugee Site
97.3733698,25.4033802,Jan Mai Kawng Bapt. C. Refugee Site
97.4353597,25.4903189,Pa Dauk Myaing(Pa La Na) Refugee Site
71.3756901,33.6616346,Oblan Refugee site
70.9111932,33.3903408,Khaki Refugee site
96.2790298,25.5632329,Lisu Bapt.C. Maw Shan Vil. Seik Mu Refugee Site
13.1836796,11.8754354,Ajigab Camp Refugee Site
13.1887865,11.7858835,Ajajari camp Reffugee Site
13.1199288,11.8030653,Temporary Karshen Kwalta Camp Refugee Site
13.1335223,11.8014585,Bulabulin Gaura Refugee Site
13.1158519,11.8024982,Umarari Camp Refugee Site
13.1392729,11.7846731,Ajijari camp Reffugee Site
13.1120753,11.796806,Goni Kyarimi Refugee Site
13.1971764,11.8591402,Alhaji Bashir Liman House Refugee Site
13.1496584,11.7836569,Campo Camp Refugee Site
13.2002663,11.8326373,Kaleri Babangida Refugee Site
13.1638607,11.8686896,Al-Yakub Reffugee Camp
13.18111,11.8716347,Annur Camp Refugee Site
13.199805,11.8576072,Mala Sheriff Construction Company Refugee Site
13.1099564,11.8552447,Bullet Quarters Camp Refugee Site
13.1184268,11.8806614,Dala Standard Refugee Site
13.1194729,11.878761,Dogongida Camp Refugee Site
13.1399167,11.873955,Karantina Refugee Site
13.1103212,11.8470913,Sabon Gari 2 Refugee Site
13.19296,11.9186887,Kessa Kura Refugee Site
13.2154718,11.8585968,Al-Haji Tar 1 Reffugee Camp
13.2152572,11.8575836,Al-Haji Tar 2 Reffugee Camp
13.1698018,11.8776508,Sanawuya Refugee Site
13.1742167,11.8725796,Old Maiduguri Police Station Camp Refugee Site
13.1132877,11.8023406,Fulatari Farin Ruwa Refugee Site
13.1361723,11.7991349,Kuru Camp Reffugee Site
13.135837,11.7990325,VIO camp Reffugee Site
12.5118184,9.3543392,Ungwan Abuja Refugee Site
10.4622996,11.3183123,Pawari Refugee Site
13.1394929,11.7891655,St Hillary Reffugee Site
